season,bb_ref_team_name,ATL,BOS,BKN,CHI,CHA,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS
2017,Miami Heat,3-1,2-1,1-3,3-1,4-0,1-2,2-0,1-1,2-2,0-2,0-2,2-2,2-0,1-1,2-0,NA,3-0,1-1,0-2,2-2,0-2,2-2,2-2,2-0,0-2,0-2,0-2,2-1,2-0,2-2
2017,Milwaukee Bucks,3-0,2-2,2-1,2-2,2-2,1-3,1-1,0-2,2-2,1-1,0-2,1-3,0-2,2-0,2-0,0-3,NA,1-1,0-2,4-0,1-1,3-1,2-2,2-0,2-0,2-0,2-0,1-2,1-1,2-2
2017,Minnesota Timberwolves,1-1,0-2,1-1,1-1,1-1,1-1,4-0,3-1,0-2,1-2,0-4,1-1,4-0,4-0,1-2,1-1,1-1,NA,4-0,2-0,3-1,1-1,0-2,2-2,2-2,3-0,1-2,1-1,2-2,1-1
2017,New Orleans Pelicans,1-1,2-0,2-0,2-0,2-0,1-1,3-1,1-2,2-0,1-3,1-3,2-0,3-1,3-0,2-2,2-0,2-0,0-4,NA,1-1,2-1,1-1,1-1,3-0,2-2,2-2,3-1,0-2,1-3,0-2
2017,New York Knicks,1-2,1-3,4-0,1-3,2-2,2-2,1-1,1-1,0-3,0-2,0-2,1-2,1-1,1-1,1-1,2-2,0-4,0-2,1-1,NA,1-1,1-3,0-4,2-0,0-2,1-1,0-2,1-3,2-0,1-2
2017,Oklahoma City Thunder,2-0,0-2,1-1,2-0,1-1,1-1,2-2,1-3,1-1,2-2,2-1,2-0,3-0,2-2,4-0,2-0,1-1,1-3,1-2,1-1,NA,1-1,2-0,2-1,0-4,3-1,2-2,2-0,3-1,1-1
2017,Orlando Magic,2-2,1-3,1-3,0-4,0-4,2-2,1-1,0-2,2-1,0-2,0-2,0-3,0-2,1-1,2-0,2-2,1-3,1-1,1-1,3-1,1-1,NA,0-3,2-0,0-2,0-2,1-1,0-3,0-2,1-3
2017,Philadelphia 76ers,3-0,1-3,3-1,2-1,4-0,2-2,2-0,2-0,4-0,0-2,1-1,1-2,2-0,1-1,1-1,2-2,2-2,2-0,1-1,4-0,0-2,3-0,NA,1-1,1-1,0-2,2-0,1-3,2-0,2-2
2017,Phoenix Suns,1-1,0-2,1-1,2-0,0-2,0-2,3-0,1-2,0-2,0-4,0-4,0-2,0-4,1-3,3-1,0-2,0-2,2-2,0-3,0-2,1-2,0-2,1-1,NA,0-4,3-1,0-4,0-2,1-3,1-1
2017,Portland Trail Blazers,1-1,0-2,1-1,2-0,2-0,1-1,2-1,1-3,1-1,2-1,0-4,2-0,3-1,3-0,2-2,2-0,0-2,2-2,2-2,2-0,4-0,2-0,1-1,4-0,NA,3-1,1-2,0-2,2-2,1-1
2017,Sacramento Kings,1-1,0-2,2-0,2-0,0-2,1-1,2-2,1-3,0-2,2-2,1-2,0-2,0-4,2-2,1-2,2-0,0-2,0-3,2-2,1-1,1-3,2-0,2-0,1-3,1-3,NA,0-4,0-2,0-3,0-2
2017,San Antonio Spurs,1-1,1-1,2-0,2-0,2-0,2-0,3-1,2-2,1-1,1-3,1-3,0-2,2-1,0-3,4-0,2-0,0-2,2-1,1-3,2-0,2-2,1-1,0-2,4-0,2-1,4-0,NA,1-1,1-3,1-1
2017,Toronto Raptors,4-0,2-2,4-0,4-0,4-0,1-2,1-1,1-1,4-0,0-2,2-0,3-1,0-2,2-0,2-0,1-2,2-1,1-1,2-0,3-1,0-2,3-0,3-1,2-0,2-0,2-0,1-1,NA,1-1,2-2
2017,Utah Jazz,0-2,1-1,1-1,1-1,1-1,1-1,3-0,2-2,2-0,3-1,0-4,1-1,3-1,3-0,3-0,0-2,1-1,2-2,3-1,0-2,1-3,2-0,0-2,3-1,2-2,3-0,3-1,1-1,NA,2-0
2017,Washington Wizards,2-2,3-1,1-2,2-1,1-3,1-3,0-2,1-1,3-1,0-2,1-1,2-1,1-1,1-1,2-0,2-2,2-2,1-1,2-0,2-1,1-1,3-1,2-2,1-1,1-1,2-0,1-1,2-2,0-2,NA
2016,Atlanta Hawks,NA,2-1,2-2,3-1,1-3,3-1,2-0,2-0,1-2,0-2,2-0,1-2,0-2,0-2,1-1,2-2,3-1,0-2,1-1,3-1,1-1,2-2,4-0,1-1,1-1,1-1,1-1,2-1,0-2,1-3
2016,Boston Celtics,1-2,NA,4-0,2-2,4-0,1-3,2-0,0-2,3-1,1-1,1-1,3-0,1-1,2-0,2-0,4-0,2-1,2-0,1-1,3-1,0-2,3-0,3-1,1-1,1-1,1-1,0-2,1-3,2-0,2-2
2016,Brooklyn Nets,2-2,0-4,NA,1-3,1-3,0-3,0-2,1-1,2-1,0-2,0-2,1-3,1-1,1-1,1-1,0-3,0-4,1-1,1-1,2-2,0-2,1-2,1-3,2-0,0-2,1-1,0-2,0-4,0-2,0-4
2016,Chicago Bulls,1-3,2-2,3-1,NA,2-1,4-0,0-2,0-2,2-2,1-1,0-2,2-2,0-2,1-1,1-1,2-1,1-3,0-2,2-0,0-3,1-1,3-1,3-1,1-1,1-1,2-0,1-1,2-1,2-0,1-3
2016,Charlotte Hornets,3-1,0-4,3-1,1-2,NA,0-4,2-0,2-0,1-3,0-2,0-2,2-2,0-2,2-0,1-1,2-2,1-2,1-1,0-2,1-2,2-0,4-0,1-2,1-1,1-1,1-1,0-2,2-2,1-1,1-3
2016,Cleveland Cavaliers,1-3,3-1,3-0,0-4,4-0,NA,1-1,1-1,2-2,1-1,1-1,3-1,0-2,2-0,1-1,1-3,3-1,2-0,1-1,4-0,1-1,3-0,3-0,2-0,1-1,1-1,0-2,3-1,1-1,2-1
2016,Dallas Mavericks,0-2,0-2,2-0,2-0,0-2,1-1,NA,1-3,0-2,0-3,0-4,1-1,2-2,4-0,2-2,1-1,2-0,1-2,2-2,1-1,1-2,1-1,1-1,1-3,2-2,1-2,1-3,0-2,1-3,2-0
2016,Denver Nuggets,0-2,2-0,1-1,2-0,0-2,1-1,3-1,NA,0-2,1-2,0-4,2-0,3-1,2-1,0-3,1-1,2-0,2-2,3-1,2-0,1-3,2-0,1-1,4-0,1-3,2-2,0-3,0-2,2-2,0-2
2016,Detroit Pistons,2-1,1-3,1-2,2-2,3-1,2-2,2-0,2-0,NA,0-2,1-1,0-4,1-1,2-0,1-1,2-2,1-3,2-0,1-1,2-2,1-1,1-3,2-1,1-1,2-0,0-2,0-2,1-3,0-2,1-2
2016,Golden State Warriors,2-0,1-1,2-0,1-1,2-0,1-1,3-0,2-1,2-0,NA,3-1,2-0,4-0,3-1,2-2,1-1,2-0,3-1,4-0,2-0,4-0,2-0,2-0,4-0,4-0,3-1,1-2,2-0,2-1,1-1
2016,Houston Rockets,0-2,1-1,2-0,2-0,2-0,1-1,4-0,4-0,1-1,1-3,NA,0-2,2-1,2-1,2-2,0-2,1-1,3-1,3-1,2-0,3-1,2-0,2-0,4-0,2-1,4-0,1-3,1-1,1-2,2-0
2016,Indiana Pacers,2-1,0-3,3-1,2-2,2-2,1-3,1-1,0-2,4-0,0-2,2-0,NA,2-0,1-1,1-1,1-2,1-3,1-1,1-1,1-3,2-0,4-0,3-1,1-1,1-1,2-0,0-2,1-2,1-1,1-3
2016,Los Angeles Clippers,2-0,1-1,1-1,2-0,2-0,2-0,2-2,1-3,1-1,0-4,1-2,0-2,NA,3-1,3-1,2-0,0-2,1-2,2-1,2-0,2-2,2-0,1-1,4-0,3-0,3-1,3-1,1-1,3-1,1-1
2016,Los Angeles Lakers,2-0,0-2,1-1,1-1,0-2,0-2,0-4,1-2,0-2,1-3,1-2,1-1,1-3,NA,2-1,1-1,1-1,2-2,2-2,1-1,1-2,1-1,1-1,2-2,0-4,2-2,1-3,0-2,0-4,0-2
2016,Memphis Grizzlies,1-1,0-2,1-1,1-1,1-1,1-1,2-2,3-0,1-1,2-2,2-2,1-1,1-3,1-2,NA,1-1,1-1,3-1,2-2,1-1,1-3,1-1,2-0,3-0,1-2,2-2,2-2,1-1,3-1,1-1
2016,Miami Heat,2-2,0-4,3-0,1-2,2-2,3-1,1-1,1-1,2-2,1-1,2-0,2-1,0-2,1-1,1-1,NA,3-1,2-0,1-1,1-2,0-2,1-3,2-2,1-1,0-2,2-0,0-2,1-3,1-1,4-0
2016,Milwaukee Bucks,1-3,1-2,4-0,3-1,2-1,1-3,0-2,0-2,3-1,0-2,1-1,3-1,2-0,1-1,1-1,1-3,NA,1-1,1-1,2-1,1-1,2-1,2-2,2-0,2-0,2-0,1-1,1-3,0-2,1-3
2016,Minnesota Timberwolves,2-0,0-2,1-1,2-0,1-1,0-2,2-1,2-2,0-2,1-3,1-3,1-1,2-1,2-2,1-3,0-2,1-1,NA,0-3,0-2,1-3,2-0,1-1,3-0,1-3,1-3,0-4,1-1,1-3,1-1
2016,New Orleans Pelicans,1-1,1-1,1-1,0-2,2-0,1-1,2-2,1-3,1-1,0-4,1-3,1-1,1-2,2-2,2-2,1-1,1-1,3-0,NA,2-0,0-4,1-1,1-1,3-1,3-1,1-2,1-3,0-2,0-3,0-2
2016,New York Knicks,1-3,1-3,2-2,3-0,2-1,0-4,1-1,0-2,2-2,0-2,0-2,3-1,0-2,1-1,1-1,2-1,1-2,2-0,0-2,NA,0-2,3-1,2-2,0-2,1-1,2-0,1-1,0-4,0-2,0-4
2016,Oklahoma City Thunder,1-1,2-0,2-0,1-1,0-2,1-1,2-1,3-1,1-1,0-4,1-3,0-2,2-2,2-1,3-1,2-0,1-1,3-1,4-0,2-0,NA,1-1,2-0,2-2,1-3,2-1,1-2,1-1,3-1,1-1
2016,Orlando Magic,2-2,0-3,2-1,1-3,0-4,0-3,1-1,0-2,3-1,0-2,0-2,0-4,0-2,1-1,1-1,3-1,1-2,0-2,1-1,1-3,1-1,NA,3-1,1-1,1-1,1-1,1-1,2-2,0-2,2-2
2016,Philadelphia 76ers,0-4,1-3,3-1,1-3,2-1,0-3,1-1,1-1,1-2,0-2,0-2,1-3,1-1,1-1,0-2,2-2,2-2,1-1,1-1,2-2,0-2,1-3,NA,1-1,1-1,1-1,0-2,1-3,0-2,2-1
2016,Phoenix Suns,1-1,1-1,0-2,1-1,1-1,0-2,3-1,0-4,1-1,0-4,0-4,1-1,0-4,2-2,0-3,1-1,0-2,0-3,1-3,2-0,2-2,1-1,1-1,NA,1-3,1-3,1-2,2-0,0-3,0-2
2016,Portland Trail Blazers,1-1,1-1,2-0,1-1,1-1,1-1,2-2,3-1,0-2,0-4,1-2,1-1,0-3,4-0,2-1,2-0,0-2,3-1,1-3,1-1,3-1,1-1,1-1,3-1,NA,2-1,2-2,0-2,2-2,0-2
2016,Sacramento Kings,1-1,1-1,1-1,0-2,1-1,1-1,2-1,2-2,2-0,1-3,0-4,0-2,1-3,2-2,2-2,0-2,0-2,3-1,2-1,0-2,1-2,1-1,1-1,3-1,1-2,NA,0-4,2-0,1-3,0-2
2016,San Antonio Spurs,1-1,2-0,2-0,1-1,2-0,2-0,3-1,3-0,2-0,2-1,3-1,2-0,1-3,3-1,2-2,2-0,1-1,4-0,3-1,1-1,2-1,1-1,2-0,2-1,2-2,4-0,NA,2-0,2-2,2-0
2016,Toronto Raptors,1-2,3-1,4-0,1-2,2-2,1-3,2-0,2-0,3-1,0-2,1-1,2-1,1-1,2-0,1-1,3-1,3-1,1-1,2-0,4-0,1-1,2-2,3-1,0-2,2-0,0-2,0-2,NA,2-0,2-1
2016,Utah Jazz,2-0,0-2,2-0,0-2,1-1,1-1,3-1,2-2,2-0,1-2,2-1,1-1,1-3,4-0,1-3,1-1,2-0,3-1,3-0,2-0,1-3,2-0,2-0,3-0,2-2,3-1,2-2,0-2,NA,2-0
2016,Washington Wizards,3-1,2-2,4-0,3-1,3-1,1-2,0-2,2-0,2-1,1-1,0-2,3-1,1-1,2-0,1-1,0-4,3-1,1-1,2-0,4-0,1-1,2-2,1-2,2-0,2-0,2-0,0-2,1-2,0-2,NA
2015,Atlanta Hawks,NA,3-1,2-1,4-0,3-1,0-3,2-0,2-0,3-1,0-2,2-0,2-2,1-1,2-0,2-0,1-3,1-2,0-2,2-0,2-2,1-1,2-2,3-0,1-1,2-0,1-1,0-2,1-3,1-1,2-2
2015,Boston Celtics,1-3,NA,2-2,2-1,2-1,1-2,0-2,2-0,2-2,1-1,1-1,1-3,1-1,1-1,1-1,3-0,3-1,1-1,2-0,3-1,1-1,2-2,4-0,2-0,1-1,2-0,0-2,1-3,1-1,4-0
2015,Brooklyn Nets,1-2,2-2,NA,1-2,0-4,1-3,0-2,2-0,1-3,0-2,2-0,1-3,0-2,0-2,0-2,1-3,0-3,0-2,0-2,2-2,1-1,0-4,2-2,2-0,0-2,1-1,0-2,0-4,1-1,0-3
2015,Chicago Bulls,0-4,1-2,2-1,NA,1-3,3-1,0-2,1-1,1-3,0-2,2-0,3-1,1-1,2-0,1-1,0-4,3-1,0-2,2-0,1-3,2-0,1-2,4-0,1-1,1-1,2-0,1-1,4-0,1-1,1-2
2015,Charlotte Hornets,1-3,1-2,4-0,3-1,NA,1-3,1-1,0-2,2-1,0-2,1-1,3-0,0-2,2-0,2-0,2-2,3-1,2-0,1-1,3-1,0-2,3-1,4-0,1-1,1-1,2-0,1-1,1-2,1-1,2-2
2015,Cleveland Cavaliers,3-0,2-1,3-1,1-3,3-1,NA,2-0,2-0,1-3,0-2,1-1,3-1,2-0,2-0,1-1,1-2,3-1,2-0,1-1,4-0,2-0,4-0,4-0,2-0,1-1,2-0,1-1,1-2,1-1,2-2
2015,Dallas Mavericks,0-2,2-0,2-0,2-0,1-1,0-2,NA,3-1,1-1,1-3,2-2,0-2,1-3,3-0,3-1,0-2,1-1,4-0,2-2,2-0,0-4,1-1,2-0,3-0,2-1,1-3,0-4,0-2,2-1,1-1
2015,Denver Nuggets,0-2,0-2,0-2,1-1,2-0,0-2,1-3,NA,2-0,1-3,3-0,1-1,1-2,3-1,1-3,0-2,1-1,3-1,1-2,2-0,0-4,0-2,2-0,2-2,1-3,0-3,1-3,2-0,0-4,2-0
2015,Detroit Pistons,1-3,2-2,3-1,3-1,1-2,3-1,1-1,0-2,NA,1-1,2-0,1-3,0-2,1-1,0-2,2-2,3-1,2-0,0-2,1-2,1-1,3-0,4-0,2-0,2-0,1-1,0-2,1-2,2-0,1-3
2015,Golden State Warriors,2-0,1-1,2-0,2-0,2-0,2-0,3-1,3-1,1-1,NA,3-0,2-0,4-0,3-1,4-0,2-0,1-1,2-1,3-0,2-0,3-0,2-0,2-0,4-0,3-1,4-0,3-1,2-0,4-0,2-0
2015,Houston Rockets,0-2,1-1,0-2,0-2,1-1,1-1,2-2,0-3,0-2,0-3,NA,1-1,2-2,4-0,2-2,1-1,1-1,3-0,3-1,1-1,2-2,1-1,2-0,2-1,2-2,3-1,1-3,2-0,2-2,1-1
2015,Indiana Pacers,2-2,3-1,3-1,1-3,0-3,1-3,2-0,1-1,3-1,0-2,1-1,NA,1-1,2-0,0-2,2-2,3-1,2-0,2-0,3-0,1-1,3-1,3-0,2-0,0-2,0-2,1-1,1-3,0-2,2-1
2015,Los Angeles Clippers,1-1,1-1,2-0,1-1,2-0,0-2,3-1,2-1,2-0,0-4,2-2,1-1,NA,4-0,2-1,2-0,2-0,3-1,3-1,2-0,1-3,2-0,2-0,2-2,3-1,3-1,1-2,0-2,2-1,2-0
2015,Los Angeles Lakers,0-2,1-1,2-0,0-2,0-2,0-2,0-3,1-3,1-1,1-3,0-4,0-2,0-4,NA,1-3,1-1,1-1,1-2,2-1,0-2,0-4,1-1,1-1,1-3,0-3,0-4,0-4,0-2,1-3,1-1
2015,Memphis Grizzlies,0-2,1-1,2-0,1-1,0-2,1-1,1-3,3-1,2-0,0-4,2-2,2-0,1-2,3-1,NA,1-1,1-1,2-2,4-0,2-0,1-2,1-1,2-0,2-2,2-2,3-0,0-4,0-2,1-2,1-1
2015,Miami Heat,3-1,0-3,3-1,4-0,2-2,2-1,2-0,2-0,2-2,0-2,1-1,2-2,0-2,1-1,1-1,NA,1-2,1-1,2-0,3-1,1-1,3-1,3-0,2-0,1-1,2-0,0-2,1-3,1-1,2-2
2015,Milwaukee Bucks,2-1,1-3,3-0,1-3,1-3,1-3,1-1,1-1,1-3,1-1,1-1,1-3,0-2,1-1,1-1,2-1,NA,2-0,1-1,2-2,0-2,2-2,3-0,2-0,1-1,0-2,0-2,0-4,0-2,1-3
2015,Minnesota Timberwolves,2-0,1-1,2-0,2-0,0-2,0-2,0-4,1-3,0-2,1-2,0-3,0-2,1-3,2-1,2-2,1-1,0-2,NA,2-2,0-2,1-3,0-2,1-1,2-2,1-3,4-0,0-3,1-1,1-3,1-1
2015,New Orleans Pelicans,0-2,0-2,2-0,0-2,1-1,1-1,2-2,2-1,2-0,0-3,1-3,0-2,1-3,1-2,0-4,0-2,1-1,2-2,NA,1-1,1-2,0-2,1-1,2-2,1-3,4-0,1-3,0-2,2-2,1-1
2015,New York Knicks,2-2,1-3,2-2,3-1,1-3,0-4,0-2,0-2,2-1,0-2,1-1,0-3,0-2,2-0,0-2,1-3,2-2,2-0,1-1,NA,1-1,1-2,4-0,2-0,1-1,0-2,0-2,1-3,1-1,1-2
2015,Oklahoma City Thunder,1-1,1-1,1-1,0-2,2-0,0-2,4-0,4-0,1-1,0-3,2-2,1-1,3-1,4-0,2-1,1-1,2-0,3-1,2-1,1-1,NA,2-0,2-0,3-0,2-2,2-2,2-2,1-1,4-0,2-0
2015,Orlando Magic,2-2,2-2,4-0,2-1,1-3,0-4,1-1,2-0,0-3,0-2,1-1,1-3,0-2,1-1,1-1,1-3,2-2,2-0,2-0,2-1,0-2,NA,3-1,0-2,1-1,1-1,0-2,1-2,2-0,0-4
2015,Philadelphia 76ers,0-3,0-4,2-2,0-4,0-4,0-4,0-2,0-2,0-4,0-2,0-2,0-3,0-2,1-1,0-2,0-3,0-3,1-1,1-1,0-4,0-2,1-3,NA,2-0,1-1,1-1,0-2,0-4,0-2,0-4
2015,Phoenix Suns,1-1,0-2,0-2,1-1,1-1,0-2,0-3,2-2,0-2,0-4,1-2,0-2,2-2,3-1,2-2,0-2,0-2,2-2,2-2,0-2,0-3,2-0,0-2,NA,2-1,1-3,0-4,1-1,0-4,0-2
2015,Portland Trail Blazers,0-2,1-1,2-0,1-1,1-1,1-1,1-2,3-1,0-2,1-3,2-2,2-0,1-3,3-0,2-2,1-1,1-1,3-1,3-1,1-1,2-2,1-1,1-1,1-2,NA,4-0,0-3,0-2,3-1,2-0
2015,Sacramento Kings,1-1,0-2,1-1,0-2,0-2,0-2,3-1,3-0,1-1,0-4,1-3,2-0,1-3,4-0,0-3,0-2,2-0,0-4,0-4,2-0,2-2,1-1,1-1,3-1,0-4,NA,0-3,2-0,2-1,1-1
2015,San Antonio Spurs,2-0,2-0,2-0,1-1,1-1,1-1,4-0,3-1,2-0,1-3,3-1,1-1,2-1,4-0,4-0,2-0,2-0,3-0,3-1,2-0,2-2,2-0,2-0,4-0,3-0,3-0,NA,1-1,4-0,1-1
2015,Toronto Raptors,3-1,3-1,4-0,0-4,2-1,2-1,2-0,0-2,2-1,0-2,0-2,3-1,2-0,2-0,2-0,3-1,4-0,1-1,2-0,3-1,1-1,2-1,4-0,1-1,2-0,0-2,1-1,NA,1-1,4-0
2015,Utah Jazz,1-1,1-1,1-1,1-1,1-1,1-1,1-2,4-0,0-2,0-4,2-2,2-0,1-2,3-1,2-1,1-1,2-0,3-1,2-2,1-1,0-4,0-2,2-0,4-0,1-3,1-2,0-4,1-1,NA,1-1
2015,Washington Wizards,2-2,0-4,3-0,2-1,2-2,2-2,1-1,0-2,3-1,0-2,1-1,1-2,0-2,1-1,1-1,2-2,3-1,1-1,1-1,2-1,0-2,4-0,4-0,2-0,0-2,1-1,1-1,0-4,1-1,NA
2014,Atlanta Hawks,NA,2-1,4-0,2-1,2-2,3-1,2-0,1-1,3-1,1-1,2-0,3-0,2-0,1-1,1-1,4-0,3-1,2-0,1-1,2-1,1-1,3-1,3-1,2-0,2-0,2-0,0-2,1-3,2-0,3-1
2014,Boston Celtics,1-2,NA,3-1,1-3,2-2,2-2,0-2,2-0,2-1,0-2,0-2,3-1,0-2,1-1,1-1,1-3,1-2,1-1,2-0,3-1,0-2,2-2,4-0,1-1,1-1,1-1,0-2,2-2,2-0,1-2
2014,Brooklyn Nets,0-4,1-3,NA,1-3,2-1,1-3,1-1,2-0,2-1,1-1,0-2,2-1,1-1,2-0,0-2,0-4,1-3,1-1,0-2,4-0,2-0,3-0,3-1,0-2,1-1,2-0,1-1,2-2,0-2,2-2
2014,Chicago Bulls,1-2,3-1,3-1,NA,2-2,1-3,1-1,1-1,2-2,1-1,1-1,2-2,1-1,1-1,1-1,2-1,3-1,2-0,2-0,3-0,1-1,2-2,3-0,1-1,1-1,1-1,1-1,4-0,1-1,2-2
2014,Charlotte Hornets,2-2,2-2,1-2,2-2,NA,0-3,0-2,2-0,2-2,0-2,0-2,1-3,0-2,1-1,0-2,2-2,2-1,2-0,1-1,3-1,0-2,2-2,2-1,1-1,0-2,0-2,0-2,2-2,1-1,2-2
2014,Cleveland Cavaliers,1-3,2-2,3-1,3-1,3-0,NA,1-1,1-1,3-1,1-1,0-2,2-2,2-0,2-0,2-0,2-2,3-1,2-0,1-1,2-1,1-1,3-0,2-1,1-1,1-1,1-1,1-1,3-1,1-1,3-1
2014,Dallas Mavericks,0-2,2-0,1-1,1-1,2-0,1-1,NA,2-1,1-1,0-4,1-3,0-2,1-2,4-0,1-3,1-1,2-0,3-0,3-1,2-0,3-1,2-0,2-0,1-3,2-2,3-0,2-2,2-0,3-1,2-0
2014,Denver Nuggets,1-1,0-2,0-2,1-1,0-2,1-1,1-2,NA,1-1,1-2,0-4,2-0,1-3,3-1,1-2,1-1,1-1,3-1,3-1,1-1,1-3,2-0,0-2,1-2,0-4,2-2,0-4,0-2,2-2,0-2
2014,Detroit Pistons,1-3,1-2,1-2,2-2,2-2,1-3,1-1,1-1,NA,0-2,1-1,2-2,0-2,0-2,1-1,2-1,1-3,0-2,0-2,3-1,1-1,3-1,1-3,1-1,0-2,2-0,1-1,2-2,0-2,1-2
2014,Golden State Warriors,1-1,2-0,1-1,1-1,2-0,1-1,4-0,2-1,2-0,NA,4-0,1-1,3-1,3-1,2-1,2-0,2-0,4-0,3-1,2-0,3-1,2-0,2-0,3-1,3-0,4-0,1-2,2-0,3-1,2-0
2014,Houston Rockets,0-2,2-0,2-0,1-1,2-0,2-0,3-1,4-0,1-1,0-4,NA,2-0,2-2,2-1,2-2,2-0,2-0,4-0,2-2,2-0,3-0,1-1,2-0,3-1,1-2,3-0,1-3,1-1,3-1,1-1
2014,Indiana Pacers,0-3,1-3,1-2,2-2,3-1,2-2,2-0,0-2,2-2,1-1,0-2,NA,0-2,1-1,0-2,3-1,2-2,1-1,2-0,4-0,1-1,3-0,3-1,0-2,0-2,0-2,0-2,0-3,2-0,2-2
2014,Los Angeles Clippers,0-2,2-0,1-1,1-1,2-0,0-2,2-1,3-1,2-0,1-3,2-2,2-0,NA,4-0,2-2,1-1,1-1,3-0,2-1,2-0,2-1,2-0,2-0,4-0,3-1,3-1,2-2,0-2,4-0,1-1
2014,Los Angeles Lakers,1-1,1-1,0-2,1-1,1-1,0-2,0-4,1-3,2-0,1-3,1-2,1-1,0-4,NA,0-4,0-2,1-1,3-1,0-4,0-2,0-3,1-1,2-0,0-4,0-4,1-3,1-2,1-1,1-2,0-2
2014,Memphis Grizzlies,1-1,1-1,2-0,1-1,2-0,0-2,3-1,2-1,1-1,1-2,2-2,2-0,2-2,4-0,NA,2-0,1-1,2-1,2-2,2-0,3-1,2-0,2-0,3-0,4-0,3-1,2-2,1-1,2-2,0-2
2014,Miami Heat,0-4,3-1,4-0,1-2,2-2,2-2,1-1,1-1,1-2,0-2,0-2,1-3,1-1,2-0,0-2,NA,0-4,1-1,0-2,3-0,0-2,3-1,3-1,2-0,1-1,2-0,0-2,1-2,1-1,1-3
2014,Milwaukee Bucks,1-3,2-1,3-1,1-3,1-2,1-3,0-2,1-1,3-1,0-2,0-2,2-2,1-1,1-1,1-1,4-0,NA,2-0,0-2,4-0,1-1,2-2,4-0,1-1,1-1,2-0,0-2,1-2,0-2,1-2
2014,Minnesota Timberwolves,0-2,1-1,1-1,0-2,0-2,0-2,0-3,1-3,2-0,0-4,0-4,1-1,0-3,1-3,1-2,1-1,0-2,NA,0-4,2-0,0-4,0-2,0-2,1-3,2-2,0-3,0-4,0-2,1-3,1-1
2014,New Orleans Pelicans,1-1,0-2,2-0,0-2,1-1,1-1,1-3,1-3,2-0,1-3,2-2,0-2,1-2,4-0,2-2,2-0,2-0,4-0,NA,1-1,3-1,1-1,1-1,2-1,0-3,3-1,3-1,2-0,2-1,0-2
2014,New York Knicks,1-2,1-3,0-4,0-3,1-3,1-2,0-2,1-1,1-3,0-2,0-2,0-4,0-2,2-0,0-2,0-3,0-4,0-2,1-1,NA,1-1,2-2,3-1,0-2,0-2,0-2,1-1,1-3,0-2,0-4
2014,Oklahoma City Thunder,1-1,2-0,0-2,1-1,2-0,1-1,1-3,3-1,1-1,1-3,0-3,1-1,1-2,3-0,1-3,2-0,1-1,4-0,1-3,1-1,NA,2-0,2-0,3-1,1-3,3-1,1-2,1-1,2-2,2-0
2014,Orlando Magic,1-3,2-2,0-3,2-2,2-2,0-3,0-2,0-2,1-3,0-2,1-1,0-3,0-2,1-1,0-2,1-3,2-2,2-0,1-1,2-2,0-2,NA,2-1,1-1,1-1,2-0,0-2,0-4,1-1,0-4
2014,Philadelphia 76ers,1-3,0-4,1-3,0-3,1-2,1-2,0-2,2-0,3-1,0-2,0-2,1-3,0-2,0-2,0-2,1-3,0-4,2-0,1-1,1-3,0-2,1-2,NA,0-2,0-2,1-1,0-2,0-4,0-2,1-3
2014,Phoenix Suns,0-2,1-1,2-0,1-1,1-1,1-1,3-1,2-1,1-1,1-3,1-3,2-0,0-4,4-0,0-3,0-2,1-1,3-1,1-2,2-0,1-3,1-1,2-0,NA,1-3,1-3,1-3,1-1,2-1,2-0
2014,Portland Trail Blazers,0-2,1-1,1-1,1-1,2-0,1-1,2-2,4-0,2-0,0-3,2-1,2-0,1-3,4-0,0-4,1-1,1-1,2-2,3-0,2-0,3-1,1-1,2-0,3-1,NA,2-1,3-1,2-0,2-2,1-1
2014,Sacramento Kings,0-2,1-1,0-2,1-1,2-0,1-1,0-3,2-2,0-2,0-4,0-3,2-0,1-3,3-1,1-3,0-2,0-2,3-0,1-3,2-0,1-3,0-2,1-1,3-1,1-2,NA,1-3,0-2,1-3,1-1
2014,San Antonio Spurs,2-0,2-0,1-1,1-1,2-0,1-1,2-2,4-0,1-1,2-1,3-1,2-0,2-2,2-1,2-2,2-0,2-0,4-0,1-3,1-1,2-1,2-0,2-0,3-1,1-3,3-1,NA,1-1,1-2,1-1
2014,Toronto Raptors,3-1,2-2,2-2,0-4,2-2,1-3,0-2,2-0,2-2,0-2,1-1,3-0,2-0,1-1,1-1,2-1,2-1,2-0,0-2,3-1,1-1,4-0,4-0,1-1,0-2,2-0,1-1,NA,2-0,3-0
2014,Utah Jazz,0-2,0-2,2-0,1-1,1-1,1-1,1-3,2-2,2-0,1-3,1-3,0-2,0-4,2-1,2-2,1-1,2-0,3-1,1-2,2-0,2-2,1-1,2-0,1-2,2-2,3-1,2-1,0-2,NA,0-2
2014,Washington Wizards,1-3,2-1,2-2,2-2,2-2,1-3,0-2,2-0,2-1,0-2,1-1,2-2,1-1,2-0,2-0,3-1,2-1,1-1,2-0,4-0,0-2,4-0,3-1,0-2,1-1,1-1,1-1,0-3,2-0,NA
